CouncilArea,Date,Price
Kingston City Council,26/08/2017,5592000.0
Kingston City Council,27/05/2017,1850000.0
Kingston City Council,28/10/2017,8050000.0
Kingston City Council,29/07/2017,1811500.0
Kingston City Council,3/02/2018,1451000.0
Kingston City Council,3/03/2018,2725000.0
Kingston City Council,3/06/2017,815000.0
Kingston City Council,3/12/2016,930000.0
Kingston City Council,4/06/2016,0.0
Kingston City Council,6/01/2018,1650000.0
Kingston City Council,7/10/2017,1150000.0
Kingston City Council,7/11/2016,1000000.0
Kingston City Council,8/07/2017,1260000.0
Kingston City Council,9/09/2017,1100000.0
Kingston City Council,9/12/2017,1250000.0
Knox City Council,10/02/2018,0.0
Knox City Council,10/03/2018,1180501.0
Knox City Council,11/11/2017,840000.0
Knox City Council,12/08/2017,970000.0
Knox City Council,14/10/2017,2410000.0
Knox City Council,15/07/2017,1045000.0
Knox City Council,16/09/2017,1440000.0
Knox City Council,17/02/2018,723000.0
Knox City Council,17/03/2018,750000.0
Knox City Council,17/06/2017,1100000.0
Knox City Council,19/08/2017,2110000.0
Knox City Council,20/01/2018,935000.0
Knox City Council,21/10/2017,0.0
Knox City Council,24/02/2018,2413000.0
Knox City Council,25/11/2017,1085000.0
Knox City Council,29/07/2017,1310000.0
Knox City Council,3/06/2017,2880000.0
Knox City Council,3/09/2017,0.0
Knox City Council,6/01/2018,2920888.0
Knox City Council,9/09/2017,2080000.0
Macedon Ranges Shire Council,14/10/2017,636000.0
Macedon Ranges Shire Council,18/11/2017,1430000.0
Macedon Ranges Shire Council,23/09/2017,1355000.0
Macedon Ranges Shire Council,25/11/2017,0.0
Macedon Ranges Shire Council,3/03/2018,940000.0
Macedon Ranges Shire Council,9/09/2017,780000.0
Manningham City Council,1/07/2017,3561000.0
Manningham City Council,10/02/2018,1410000.0
Manningham City Council,10/03/2018,3450000.0
Manningham City Council,10/09/2016,3118000.0
Manningham City Council,10/12/2016,4205000.0
Manningham City Council,11/11/2017,4956000.0
Manningham City Council,12/06/2016,0.0
Manningham City Council,12/08/2017,8529000.0
Manningham City Council,12/11/2016,750000.0
Manningham City Council,13/05/2017,2830000.0
Manningham City Council,13/08/2016,1000000.0
Manningham City Council,14/05/2016,1320000.0
Manningham City Council,14/10/2017,4151000.0
Manningham City Council,15/07/2017,0.0
Manningham City Council,15/10/2016,0.0
Manningham City Council,16/09/2017,4465000.0
Manningham City Council,17/02/2018,4660000.0
Manningham City Council,17/03/2018,5855000.0
Manningham City Council,17/06/2017,6317000.0
Manningham City Council,17/09/2016,1325000.0
Manningham City Council,18/03/2017,0.0
Manningham City Council,18/06/2016,1462500.0
Manningham City Council,18/11/2017,1748000.0
Manningham City Council,19/08/2017,2300000.0
Manningham City Council,19/11/2016,2810800.0
Manningham City Council,20/05/2017,0.0
Manningham City Council,21/10/2017,11446500.0
Manningham City Council,22/04/2017,1090000.0
Manningham City Council,22/05/2016,1650000.0
Manningham City Council,22/07/2017,4215000.0
Manningham City Council,23/04/2016,0.0
Manningham City Council,23/09/2017,7383500.0
Manningham City Council,24/02/2018,1898000.0
Manningham City Council,24/06/2017,1860000.0
Manningham City Council,25/02/2017,3183000.0
Manningham City Council,25/11/2017,7055000.0
Manningham City Council,26/07/2016,3600000.0
Manningham City Council,26/08/2017,4233000.0
Manningham City Council,27/05/2017,3855000.0
Manningham City Council,28/08/2016,900000.0
Manningham City Council,28/10/2017,8481000.0
Manningham City Council,29/04/2017,3320000.0
Manningham City Council,29/07/2017,4505000.0
Manningham City Council,3/03/2018,7901000.0
Manningham City Council,3/06/2017,5370000.0
Manningham City Council,3/09/2016,1924500.0
Manningham City Council,3/09/2017,3240000.0
Manningham City Council,3/12/2016,1505000.0
Manningham City Council,30/07/2016,0.0
Manningham City Council,4/03/2017,5178000.0
Manningham City Council,4/06/2016,1150000.0
Manningham City Council,4/11/2017,1162000.0
Manningham City Council,6/01/2018,0.0
Manningham City Council,7/05/2016,920000.0
Manningham City Council,7/10/2017,0.0
Manningham City Council,7/11/2016,2715000.0
Manningham City Council,8/07/2017,8518000.0
Manningham City Council,8/10/2016,1400000.0
Manningham City Council,9/09/2017,3185000.0
